Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
8169, 0.00, -0.04, 0.95, 0.83, -0.81, 0.07, -0.13, 0.31, -0.61
8225, -0.00, -0.04, 0.95, 0.86, -0.87, 0.11, -0.13, 0.31, -0.61
8255, -0.00, -0.04, 0.95, 0.81, -0.85, 0.09, -0.13, 0.31, -0.61
8286, -0.00, -0.04, 0.95, 0.81, -0.88, 0.02, -0.13, 0.31, -0.62
8314, -0.00, -0.04, 0.95, 0.85, -0.89, 0.03, -0.13, 0.31, -0.62
8347, 0.00, -0.04, 0.95, 0.81, -0.84, 0.03, -0.13, 0.31, -0.62
8376, -0.00, -0.04, 0.95, 0.77, -0.81, -0.03, -0.13, 0.31, -0.62
8406, -0.00, -0.04, 0.95, 0.76, -0.85, 0.03, -0.13, 0.31, -0.62
8434, -0.00, -0.04, 0.95, 0.73, -0.79, 0.05, -0.13, 0.30, -0.62
8466, -0.00, -0.04, 0.95, 0.67, -0.82, 0.07, -0.13, 0.30, -0.62
8495, -0.00, -0.04, 0.95, 0.67, -0.74, -0.10, -0.13, 0.31, -0.62
8523, -0.00, -0.04, 0.95, 0.79, -0.74, -0.01, -0.13, 0.30, -0.62
8553, 0.00, -0.04, 0.95, 0.79, -0.95, -0.05, -0.13, 0.30, -0.62
8585, -0.00, -0.04, 0.95, 0.86, -0.94, 0.01, -0.13, 0.31, -0.62
8613, -0.00, -0.04, 0.95, 0.70, -0.87, 0.01, -0.13, 0.31, -0.62
8643, -0.00, -0.04, 0.95, 0.87, -0.78, 0.05, -0.12, 0.31, -0.61
8673, -0.00, -0.04, 0.95, 0.74, -0.71, 0.08, -0.12, 0.31, -0.61
